Time,Open,High,Low,Close,Volume
2019.11.25 00:00,1460.39,1462.08,1454,1454.94,58527
2019.11.26 00:00,1454.94,1462.87,1450.02,1461.3,55649
2019.11.27 00:00,1461.11,1461.75,1452.45,1453.93,57103
2019.11.28 00:00,1455.75,1458.26,1454.16,1455.74,31775
2019.11.29 00:00,1455.39,1466.53,1452.94,1463.83,48203
2019.12.02 00:00,1462.43,1465.29,1453.89,1462.45,65523
2019.12.03 00:00,1461.61,1481.73,1459.78,1477.32,65924
2019.12.04 00:00,1476.47,1484.01,1471.35,1474.33,79731
2019.12.05 00:00,1474.37,1480.29,1472.86,1475.76,68940
2019.12.06 00:00,1476.04,1479.82,1458.66,1459.53,63328
2019.12.09 00:00,1458.58,1465.35,1458.48,1461.71,46080
2019.12.10 00:00,1461.41,1469.17,1459.95,1464.35,66086
2019.12.11 00:00,1464.16,1478.84,1462.63,1474.72,63369
2019.12.12 00:00,1474.89,1486.69,1463.89,1469.4,80536
2019.12.13 00:00,1466.57,1478,1461.73,1475.44,92543
2019.12.16 00:00,1474.85,1479.85,1473.09,1475.9,55769
2019.12.17 00:00,1475.89,1480.49,1474.12,1475.99,55358
2019.12.18 00:00,1475.76,1479.24,1470.38,1475.45,51047
2019.12.19 00:00,1475.3,1481.64,1473.19,1478.7,49593
2019.12.20 00:00,1478.94,1480.94,1475.78,1477.93,44501
2019.12.23 00:00,1477.96,1486.09,1477.46,1485.38,44323
2019.12.24 00:00,1485.2,1500.44,1484.33,1498.99,39618
2019.12.26 00:00,1503.27,1512.56,1502.27,1511.04,42592
2019.12.27 00:00,1510.77,1515.29,1507.28,1510.63,54172
2019.12.30 00:00,1511.16,1516.07,1510.7,1514.96,57637
2019.12.31 00:00,1514.63,1525.23,1514.54,1520.46,51632
2020.01.02 00:00,1520.26,1531.32,1518.38,1528.77,55524
2020.01.03 00:00,1528.25,1553.43,1527.86,1551.44,95044
2020.01.06 00:00,1575.89,1582.09,1560.7,1565.63,118721
2020.01.07 00:00,1564.53,1577.32,1555.23,1573.24,96091
2020.01.08 00:00,1575.99,1611.35,1552.22,1556.36,156878
2020.01.09 00:00,1554.75,1561.29,1540.2,1552.08,87919
2020.01.10 00:00,1552.91,1563.13,1545.73,1561.76,78711
2020.01.13 00:00,1559.55,1560.6,1546.51,1548.34,72777
2020.01.14 00:00,1548.13,1548.85,1535.96,1546.25,85110
2020.01.15 00:00,1546.37,1558.17,1546.27,1556.22,73629
2020.01.16 00:00,1555.18,1558.06,1547.98,1552.46,65408
2020.01.17 00:00,1552.29,1561.21,1549.33,1556.83,64606
2020.01.20 00:00,1559,1562.76,1556.35,1560.5,31344
2020.01.21 00:00,1560.88,1568.59,1546.3,1557.91,84727
2020.01.22 00:00,1558.01,1559.22,1550.15,1558.6,68635
2020.01.23 00:00,1558.55,1567.91,1551.85,1562.8,80486
2020.01.24 00:00,1561.79,1575.95,1556.49,1570.9,81710
2020.01.27 00:00,1580.71,1588.28,1575.87,1581.88,105097
2020.01.28 00:00,1580.91,1583.03,1565.44,1567.78,83057
2020.01.29 00:00,1568.65,1578,1563.35,1577.11,72438
2020.01.30 00:00,1575.25,1585.99,1572.22,1573.85,96702
2020.01.31 00:00,1575.06,1590.48,1570.87,1588.83,97516
2020.02.03 00:00,1588.65,1592,1569.28,1576.3,91040
2020.02.04 00:00,1578.56,1579.61,1548.97,1552.74,81029
2020.02.05 00:00,1553.18,1562.41,1547.38,1556.41,84219
